Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Atlantic Ocean,30-Oct-1954,Lockheed R7V-1 Super Constellation,128441,US Navy,42,"near Maryland, USA",A1
Unknown country,20-Jan-1944,Douglas C-47A (DC-3),42-24217,USAAF,,unknown,A1
Pacific Ocean,19-Dec-1971,C-7A Caribou (DHC-4),62-4173,USAF,0,near San Francisc...,A1
Unknown country,28-Oct-1988,BN-2A-21 Islander,F-OGHL,Air Guadeloupe,,,U1
Unknown country,28-Aug-1944,Douglas C-47 (DC-3),41-38721,USAAF,,unknown,A1
Unknown country,22-Jan-1975,Boeing 737-200,,VASP,0,,H2
Unknown country,20-Mar-1945,Curtiss C-46A,42-60979,USAAF,,,U1
Unknown country,19-Nov-1945,Curtiss C-46D,44-78478,USAAF,,,A1
Unknown country,13-Apr-1945,Curtiss C-46D,42-101221,USAAF,4,between Chit...,A1
Unknown country,30-Jun-1964,Douglas C-54A (DC-4),N188S,Zantop,,,U1
Pacific Ocean,??-???-1953,Consolidated PBY-6A Catalina,64089,US Navy,0,near Midway Island,A1
Unknown country,20-Oct-1945,Curtiss C-46D,42-101159,USAAF,,,A1
Unknown country,12-Apr-1954,Douglas C-47A (DC-3),42-100546,USAF,,Unknown,A1
Atlantic Ocean,09-Dec-2019,Lockheed C-130H Hercules,990,Chilean AF,38,near King George ...,A1
Atlantic Ocean,07-May-1953,Vickers Valetta T.3,WG258,RAF,10,near Hartland Poi...,A1
Unknown country,01-Aug-1962,Douglas C-47D (DC-3),43-49773,USAF,,,A1
Unknown country,08-May-1945,Curtiss C-46D,44-77389,USAAF,,,A1
Atlantic Ocean,27-Jul-1944,Consolidated PBY-5A Catalina,46461,US Navy,9,Atlantic Ocean,A1
Unknown country,02-Nov-1945,Douglas C-47B (DC-3),43-16335,USAAF,,unknown,A1
Unknown country,05-Apr-1945,Curtiss C-46A,42-96550,USAAF,,,A1
Atlantic Ocean,30-Jan-1963,Lockheed P-3A Orion,149672,US Navy,14,"near New York, NJ...",A1
Unknown country,14-Jun-1959,Douglas C-47A (DC-3),ETI-82,Turkish AF,,unknown,A1
Atlantic Ocean,10-Apr-2015,Gulfstream G-IV,N450KK,La Venezolana de Seguros y Vida,0,near Caribbean Sea,A2
Unknown country,??-OCT-1929,Farman F.63bis Goliath,F-FARI,SGTA,,,U1
Pacific Ocean,22-Nov-1943,Consolidated PBY-5 Catalina,8428,US Navy,,South Pacific,A1
Pacific Ocean,02-Jan-1964,Douglas C-124C Globemaster II,52-0968,USAF,9,near Hawaii,A1
Unknown country,20-Mar-1945,Curtiss C-46A,42-60974,USAAF,,,U1
Unknown country,13-Dec-1944,Curtiss C-46A,42-96531,USAAF,,,U1
Pacific Ocean,30-Dec-1943,Consolidated PBY-5A Catalina,33963,US Navy,6,Pacific Ocean,A1
Unknown country,04-Jun-1945,Douglas Dakota III (DC-3),FD889,RAF,,unknown,A1
Unknown country,17-Jul-1945,Curtiss C-46D,42-96782,USAAF,,,A1
Unknown country,??-JUL-1978,BN-2A-9 Islander,TN-ACO,Department of Forest and Mines,,,U1
Unknown country,??-???-1965,Ilyushin Il-14T,,Egyptian AF,,,C1
Atlantic Ocean,21-Sep-1973,Grumman HU-16E Albatross,2123,US Coast Guard,6,Gulf of Mexico,A1
Unknown country,15-Nov-1955,CASA 352 (Ju-52),T.2-223,Spanish AF,,,U1
Unknown country,28-Mar-1943,Consolidated PBY-5 Catalina,4461,US Navy,7,,A1
Unknown country,??-???-1979,Antonov An-2P,SP-FNA,Zakladu Urz. Chem.,,,O1
Unknown country,19-Oct-1944,Curtiss C-46A,42-107300,USAAF,4,,A1
Atlantic Ocean,01-Jun-1943,Douglas DC-3-194,G-AGBB,BOAC,17,"near La Coruña, S...",C1
Atlantic Ocean,05-Mar-1967,Grumman HU-16E Albatross,1240,US Coast Guard,6,Gulf of Mexico,A1
Pacific Ocean,21-Dec-1942,Consolidated PBY-5A Catalina,7285,US Navy,,near Alaska,A1
Unknown country,07-Feb-1964,Douglas C-47A (DC-3),42-100631,USAF,,Unknown,A1
Pacific Ocean,27-Nov-1944,Douglas C-47B (DC-3),43-16343,USAAF,21,between Tacl...,A1
Atlantic Ocean,13-Jun-1943,Short Sunderland III,DV967,RAF,11,"near Finisterre, ...",C1
Unknown country,09-Aug-1963,Consolidated PBY-6A Catalina,PT-BBP,Servicios Aerotaxi Abast do Vale,,,A1
Unknown country,04-Oct-1968,Antonov An-2M,635,Polish AF,,,A1
Atlantic Ocean,06-Mar-1944,Douglas Dakota III (DC-3),KG446,RAF,,between Icel...,A1
Unknown country,??-???-1979,DHC-6 Twin Otter 300,FAP-333,Peruvian AF,,,A1
Pacific Ocean,31-May-1942,Consolidated PBY-5 Catalina,2294,US Navy,0,South Pacific,A1
Atlantic Ocean,25-Sep-1941,Consolidated PBY-5 Catalina,2402,US Navy,4,between St. ...,A1
Unknown country,22-Feb-1971,CASA 352 (Ju-52),T.2B-157,Spanish AF,,,U1
Atlantic Ocean,05-May-1927,Farman F.61 Goliath,F-ADFN,SGTA,2,Atlantic Ocean,A1
Unknown country,??-???-1941,Junkers Ju-52/3m,D-AFCD,German AF,,,A1
Unknown country,14-Mar-1946,Douglas Dakota III (DC-3),KN317,RAF,,unknown,A1
Atlantic Ocean,01-Oct-1978,Douglas R4D-6 (DC-3),N74Z,Evergreen Air,1,near Fort Walton ...,A1
Atlantic Ocean,19-Nov-1967,Avro Shackleton MR.3,WR976,RAF,9,"near Newquay, UK",A1
Unknown country,??-???-1942,Junkers Ju-52/3m,D-AGBI,German AF,,,A1
Unknown country,20-Dec-1944,Curtiss C-46A,42-60998,USAAF,,,U1
Unknown country,20-Mar-1945,Curtiss C-46A,42-60961,USAAF,,,A1
Pacific Ocean,27-Feb-1984,Shin Meiwa PS-1,5803,Japanese Navy,12,Sea of Japan,A1
Unknown country,09-Oct-1946,Douglas C-47A (DC-3),42-100456,USAAF,,Unknown,A1
Unknown country,25-Apr-1945,Curtiss C-46A,42-101132,USAAF,,,A1
Unknown country,25-Oct-1943,Curtiss C-46A,41-12326,USAAF,,,U1
Unknown country,??-FEB-1958,Douglas DC-4,N37474,California Eastern,,unknown,U1
Unknown country,25-Aug-1954,CASA 352 (Ju-52),T.2B-220,Spanish AF,,,U1
Unknown country,09-Sep-1945,Curtiss C-46D,44-77391,USAAF,,,A1
Unknown country,15-Mar-1945,Douglas C-47A (DC-3),42-92080,USAAF,,unknown,U1
Unknown country,21-Dec-1944,Curtiss C-46D,42-101136,USAAF,,,U1
Atlantic Ocean,31-Oct-1999,Boeing 767-366ER,SU-GAP,EgyptAir,217,near Nantucket Is...,C1
Atlantic Ocean,18-May-1983,Learjet 25B,D-CDPD,Air Traffic Executive Jet,3,near Scotland,A1
Unknown country,29-Jun-1944,Curtiss C-46A,42-3574,USAAF,1,,U1
Atlantic Ocean,11-Oct-1987,Dassault Falcon 20D,EC-EFI,Drenair,0,"near Keflavik, Ic...",A1
Atlantic Ocean,11-Oct-1969,BN-2A Islander,N852JA,San Juan Air,2,near San Juan [Ca...,A1
Antarctica,29-Jan-1977,DHC-6 Twin Otter 300,VP-FAP,British Antarctic Survey,0,Gomez Nunatak,A1
Unknown country,04-Apr-1945,Douglas C-47A (DC-3),42-108985,USAAF,,unknown,A1
Unknown country,??-???-1958,Curtiss C-46F,FAP-652,Peruvian AF,,,U1
Mediterranean Sea,20-Jul-1948,Douglas C-47B (DC-3),476561/FRAMC,French AF,0,"near Marseille, F...",A1
Pacific Ocean,29-Oct-1991,Boeing 707-368C,A20-103,RAAF,5,"near East Sale, V...",A1
Unknown country,07-Mar-1972,Boeing 727,,National Airlines,0,,H2
Unknown country,11-Sep-1945,Curtiss C-46D,44-77450,USAAF,,,A1
Unknown country,28-Jan-1944,Curtiss C-46A,41-12406,USAAF,,,U1
Pacific Ocean,18-Nov-1943,Consolidated PBY-5A Catalina,8034,US Navy,,South Pacific,A1
Unknown country,??-???-1983,Ilyushin Il-18Gr,CCCP-75887,"Aeroflot, MUTA",,unknown,U1
Antarctica,14-Aug-2019,DHC-6 Twin Otter 200,T-82,Argentine AF,0,near Base Marambio,A2
Unknown country,18-Jan-1944,Curtiss C-46A,41-24660,USAAF,4,between Sook...,A1
Unknown country,14-Jan-1987,Antonov An-32,D2-FA.,Angolan AF,,,U1
Unknown country,30-Mar-1978,Antonov An-2R,SP-WNX,ZUA,,,A1
Unknown country,12-May-1945,Douglas C-47A (DC-3),42-93493,USAAF,,Fl. Blanc,A1
Unknown country,01-May-1951,Douglas C-47A (DC-3),42-101001,USAF,,Unknown,A1
Atlantic Ocean,30-Jan-1948,Avro 688 Tudor 1,G-AHNP,BSAA,31,western Atla...,A1
Unknown country,18-Jul-1945,Curtiss C-46D,42-101138,USAAF,,,A1
Pacific Ocean,22-Nov-2017,Grumman C-2A Greyhound,162175,US Navy,3,near Okinawa,A1
Atlantic Ocean,27-Aug-1944,Consolidated PBY-5A Catalina,33961,US Navy,0,near Fernando de ...,A1
Unknown country,??-???-1963,Grumman SA-16A Albatross,11019,Republic of China AF,,,U1
Unknown country,26-Jul-1946,Douglas Dakota III (DC-3),FD794,RAF,,unknown,A1
Unknown country,14-Feb-1942,Consolidated PBY-5 Catalina,2321,US Navy,,,A1
Pacific Ocean,15-Apr-1944,Douglas C-47 (DC-3),41-18592,USAAF,,between New ...,A1
Pacific Ocean,05-Jun-1943,Consolidated PBY-5A Catalina,8078,US Navy,0,South Pacific,A1
Pacific Ocean,24-Sep-1945,Douglas C-47B (DC-3),NZ3526,New Zealand AF,20,between Vanu...,A1
Unknown country,??-???-1941,Junkers Ju-52/3mte,D-ANXG,German AF,,,A1
Unknown country,05-Nov-1975,Douglas C-47B (DC-3),T.3-30,Spanish AF,,,U1
Unknown country,31-May-1945,Curtiss C-46D,44-77857,USAAF,,,A1
Atlantic Ocean,26-Jan-1955,Douglas C-54G (DC-4),45-569,USAF,0,near Ocean Weathe...,A1
Unknown country,??-???-1978,BN-2A-21 Islander,5T-MAU,Mauritanian AF,,,U1
Unknown country,24-Apr-1961,Douglas C-47A (DC-3),42-101000,USAF,,unknown,A1
Atlantic Ocean,15-Mar-1973,Lockheed P-3B Orion,152749,US Navy,5,near Brunswick-NA...,A1
Unknown country,??-JUN-1985,BN-2A Islander,TR-LXW,Rougier Gabon,,,U1
Unknown country,04-Apr-1968,Douglas C-47 (DC-3),IJ304,Indian AF,,,U1
Unknown country,27-Aug-1948,Douglas DC-3,,Aerovías Cubanas Internacionales,,,U1
Unknown country,date unk.,Antonov An-12B,T-1201,Indonesian AF,,,U1
Antarctica,??-FEB-1958,Lisunov Li-2V,CCCP-N501,Polyarnaya Aviatsiya,0,near Mirny Ice St...,A1
Unknown country,28-Feb-1944,Curtiss C-46A,41-24775,USAAF,3,,A1
Unknown country,16-Sep-1944,Douglas C-47B (DC-3),43-48314,USAAF,,unknown,A1
Pacific Ocean,12-Dec-1971,Grumman C-2A Greyhound,152793,US Navy,10,near Cubi Point N...,A1
Unknown country,??-OCT-1987,BN-2A-26 Islander,TZ-ADN,Live Air,,,U1
Unknown country,15-Apr-1945,Douglas C-47A (DC-3),42-100756,USAAF,,Unknown,A1
Indian Ocean,25-Mar-1986,Antonov An-32,K2729,Indian AF,7,"near Jamnagar, India",A1
Unknown country,25-Jan-1945,Curtiss C-46D,44-77396,USAAF,,,A1
Atlantic Ocean,02-Mar-1956,Douglas C-124C Globemaster II,53-021,USAF,17,near Iceland,A1
Unknown country,20-May-1945,Curtiss C-46A,41-24681,USAAF,,,A1
Unknown country,30-Apr-1945,Douglas C-47B (DC-3),349047,French AF,,unknown,A1
Atlantic Ocean,28-Aug-1963,Boeing KC-135A,61-0319,USAF,6,near Bermuda,A1
Unknown country,23-Jul-1950,CASA 352 (Ju-52),T.2-167,Spanish AF,,,U1
Unknown country,01-Sep-1944,Curtiss C-46A,42-61064,USAAF,,,A1
Unknown country,21-Jan-1945,Curtiss C-46D,42-101165,USAAF,,,A1
Unknown country,13-Apr-1945,Curtiss C-46A,42-61068,USAAF,,,U1
Unknown country,10-Dec-1943,Curtiss C-46A,41-12419,USAAF,0,between Yunn...,A1
Unknown country,18-May-1942,Consolidated PBY-5A Catalina,5018,US Navy,9,,A1
Unknown country,10-Aug-1971,Fairchild C-119G Flying Boxcar,3149,Republic of China AF,,near Hengchun,A1
Unknown country,23-Feb-1945,Curtiss C-46A,41-24732,USAAF,,,U1
Unknown country,02-Mar-1943,Douglas C-47 (DC-3),41-19467,USAAF,,unknown,U1
Unknown country,21-May-1944,Douglas C-47A (DC-3),42-100440,USAAF,,Unknown,A1
Unknown country,??-???-1954,Douglas C-47A (DC-3),C-68,LANSA,,,U1
Antarctica,28-Nov-1956,Douglas C-124C Globemaster II,52-1015,USAF,0,McMurdo Stat...,A1
Unknown country,03-Mar-1982,BN-2A-27R Islander,HC-BFJ,ATESA,,,U1
Unknown country,15-Apr-1945,Curtiss C-46A,42-60958,USAAF,,,A1
Unknown country,06-Apr-1945,Curtiss C-46D,42-96811,USAAF,,,A1
Antarctica,02-Dec-1969,Fokker F-27 Friendship 400M,TC-77,LADE,0,Base Marambi...,A1
Unknown country,15-May-1943,Douglas C-47 (DC-3),42-32861,USAAF,,unknown,A1
Unknown country,27-Sep-1944,Douglas C-47A (DC-3),43-48259,USAAF,,unknown,A1
Unknown country,16-Dec-1944,Curtiss C-46D,42-96815,USAAF,,,A1
Unknown country,07-Dec-1945,Douglas C-47A (DC-3),42-108967,USAAF,,unknown,A1
Unknown country,date unk.,BN-2A-8 Islander,N94CA,Harbor Airlines,,,U1
Unknown country,21-Apr-1971,DC-8,,Eastern Air Lines,0,,H2
Atlantic Ocean,22-Jun-1943,Consolidated PBY-5 Catalina,8318,US Navy,,Atlantic Ocean,A1
Unknown country,25-May-1942,Douglas C-47 (DC-3),41-7728,USAAF,,unknown,A1
Unknown country,23-Jan-1945,Douglas C-47B (DC-3),43-48760,USAAF,,unknown,A1
Mediterranean Sea,13-Nov-1942,Junkers Ju-52/3m,G6+AS,German AF,3,between Tuni...,C1
Unknown country,03-Jun-1945,Curtiss C-46D,44-77381,USAAF,,,A1
Unknown country,13-May-1980,BN-2A-3 Islander,PK-OAB,Airfast Indonesia,,,U1
Unknown country,13-Dec-1943,Lockheed 18 Lodestar,G-AGHI,"BOAC, op.for Norwegian AF",,,A1
Unknown country,10-Jul-1974,DHC-6 Twin Otter 300,FAP-303,Peruvian AF,,,U1
Unknown country,24-Jun-1945,Douglas C-47A (DC-3),42-92985,USAAF,,,A1
Unknown country,17-Jan-1944,Curtiss C-46A,41-12424,USAAF,2,between Chab...,A1
Unknown country,??-???-1958,Grumman G-73 Mallard,N10400,Unknown,,,U1
Unknown country,07-Nov-1943,Douglas C-47 (DC-3),41-7824,USAAF,,unknown,A1
Pacific Ocean,15-Oct-1950,Douglas C-47A (DC-3),42-100855,USAF,4,Sea of Japan,A1
Unknown country,24-Aug-1992,CASA C-212-M Aviocar 200,T-405,Angolan AF,,,U1
Atlantic Ocean,20-Jun-1956,Lockheed L-1049E-55 Super Constella,YV-C-AMS,LAV,74,"near New York, NY",A1
Unknown country,01-Nov-1943,Curtiss C-46A,41-12308,USAAF,,,U1
Atlantic Ocean,17-Mar-1979,DHC-4A Caribou,C-GVYW,Air Inuit,3,"near Bridgetown, ...",A1
Pacific Ocean,10-May-1944,Consolidated PBY-5A Catalina,46500,US Navy,9,near Midway Island,A1
Antarctica,28-Nov-1979,DC-10-30,ZK-NZP,Air New Zealand,257,Mount Erebus,A1
Unknown country,06-Jun-1944,Douglas C-47A (DC-3),42-93448,USAAF,,,A1
Unknown country,23-Sep-1944,Douglas C-47A (DC-3),42-92737,USAAF,,unknown,A1
Unknown country,06-Nov-1969,CASA 352 (Ju-52),T.2B-133,Spanish AF,,,U1
Unknown country,??-???-1942,Junkers Ju-52/3mge,D-ABVF,German AF,,,A1
Unknown country,26-Feb-1945,Curtiss C-46D,42-101172,USAAF,,,A1
Pacific Ocean,11-Nov-1944,Douglas C-54A (DC-4),42-72252,USAAF,17,"near Oahu Island, HI",A1
Pacific Ocean,05-Oct-1943,Consolidated PBY-5A Catalina,33965,US Navy,0+ 1,"near Tutuila, Ame...",A1
Unknown country,30-Apr-1945,Curtiss C-46A,42-61010,USAAF,,,A1
Mediterranean Sea,22-Jul-1953,Handley Page Hastings C.1,TG613,RAF,0,"near Idris, Libya",A1
Unknown country,27-Oct-1943,Curtiss C-46A,41-12332,USAAF,,,U1
Unknown country,02-Oct-1945,Curtiss C-46D,44-77504,USAAF,,,A1
Unknown country,04-Jan-1945,Curtiss C-46D,44-77332,USAAF,,,A1
Atlantic Ocean,18-Jan-1943,Consolidated C-87,41-11708,USAAF,26,"near Natal, Brazil",A1
Unknown country,17-May-1943,Douglas C-53-DO (DC-3),42-6497,USAAF,,unknown,A1
Unknown country,11-Apr-1945,Curtiss C-46D,44-77604,USAAF,,,A1
Pacific Ocean,13-Aug-1944,Consolidated PBY-5 Catalina,8331,US Navy,4,South-West P...,A1
Unknown country,20-Jun-1975,Lockheed P2V-7 Neptune,4664,Japanese Navy,,unknown,U1
Unknown country,??-???-1975,Let L-410A,OK-DKD,Let,,,O1
Unknown country,05-Feb-1945,Curtiss C-46D,44-77402,USAAF,,,A1
Mediterranean Sea,14-Jul-1938,Savoia-Marchetti S-66,I-VOLO,Ala Littoria,20,"near Terranova, S...",A1
Pacific Ocean,18-Oct-1966,Grumman HU-16B Albatross,51-7145,USAF,7,"near Dong Hoi, Gu...",A1
Unknown country,23-Oct-1943,Curtiss C-46A,41-24655,USAAF,,,U1
Pacific Ocean,20-Jul-1979,Douglas C-47B (DC-3),N63250,Trans National Airlines,2,"near Honolulu, HI...",A1
Unknown country,06-Nov-1944,Douglas C-47A (DC-3),43-15262,USAAF,,unknown,A1
Mediterranean Sea,13-Feb-1938,CANT Z.506,I-ORIA,Ala Littoria,14,"near Sardinia, Italy",A1
Antarctica,07-Nov-2003,DHC-6 Twin Otter 310,VP-FBB,British Antarctic Survey,0,Rothera Rese...,A2
Unknown country,17-Jul-1944,Douglas C-47 (DC-3),41-38677,USAAF,,unknown,A1
Pacific Ocean,22-Nov-1996,Lockheed HC-130P Combat King,64-14856,USAF,10,near Cape Mendoci...,A1
Atlantic Ocean,22-Dec-1997,Antonov An-72,ER-ACF,Renan,5,between Abid...,A1
Antarctica,25-Nov-1962,Douglas LC-47H,50777,US Navy,0,Davis Glacier,A1
Unknown country,08-Feb-1969,Douglas DC-6,,Unknown,0,,H2
Mediterranean Sea,27-Jun-1980,Douglas DC-9-15,I-TIGI,Itavia,81,"near Ustica, Ital...",C1
Unknown country,17-Feb-1945,Douglas Dakota IV (DC-3),KJ890,RAF,,unknown,A1
Unknown country,27-Aug-1945,Douglas C-47A (DC-3),43-15439,USAAF,,Unknown,A1
Unknown country,16-May-1945,Curtiss C-46D,44-77477,USAAF,,,U1
Unknown country,18-May-1945,Curtiss C-46D,44-77369,USAAF,,,A1
Antarctica,??-DEC-1968,Lisunov Li-2T,CCCP-04214,"Aeroflot, Polar",0,,A1
Unknown country,13-Jun-1943,Douglas C-47 (DC-3),41-18565,USAAF,,unknown,A1
Pacific Ocean,06-Dec-2018,Lockheed Martin KC-130J,167981,USMC,5,"near Muroto Cape,...",A1
Unknown country,09-Aug-1956,Douglas C-47A (DC-3),HK-308,Avianca,,,A1
Atlantic Ocean,01-Sep-1942,Sunderland Mk II,T9113,RAAF,11,Bay of Biscay,C1
Unknown country,23-Aug-1945,Curtiss C-46D,42-101156,USAAF,,,A1
Pacific Ocean,13-Jun-1945,Curtiss C-46D,44-77353,USAAF,,South-West P...,A1
Atlantic Ocean,16-Jun-1952,Consolidated Tp 47 Canso (PBY-5A),47002,Swedish AF,0,Baltic Sea,C1
Indian Ocean,13-Jun-1964,Douglas C-47A (DC-3),HZ-AAN,Saudi Arabian,2,"near Jeddah, Saud...",A1
Unknown country,21-Jun-1957,DHC-3 Otter,PI-C52,Philippine Air Lines,,,U1
Unknown country,13-Mar-1965,Douglas C-47A (DC-3),43-16072,USAF,,unknown,A1
Unknown country,??-DEC-1996,BN-2A-9 Islander,PT-KAB,Geomag,,,A1
Unknown country,26-Jul-1945,Douglas Dakota III (DC-3),KN505,RAF,,unknown,A1
Unknown country,19-Feb-1960,CASA 352 (Ju-52),T.2B-204,Spanish AF,,,U1
Atlantic Ocean,11-Sep-1990,Boeing 727-247,OB-1303,Faucett Perú,16,near Newfoundland...,A1
Atlantic Ocean,05-Jun-1942,Consolidated PBY-5A Catalina,5023,US Navy,9,Gulf of Mexico,A1
Pacific Ocean,16-Mar-1995,DHC-6 Twin Otter 200,N37ST,Great Barrier Airlines,0,"near Oahu Island,...",A1
Unknown country,29-Sep-1959,CASA 352 (Ju-52),T.2B-139,Spanish AF,,,U1
Antarctica,date unk.,Ilyushin Il-14T,CCCP-04180,"GUSMP, Directorate of Polar Aviation",0,Ice Station ...,A1
Unknown country,14-Mar-1945,Curtiss C-46D,44-77492,USAAF,,,A1
Unknown country,01-Apr-1945,Curtiss C-46D,44-77519,USAAF,,,A1
Indian Ocean,05-Nov-1967,Avro Shackleton MR.2,WL786,RAF,8,"near Lhokkruet, I...",A1
Unknown country,23-Oct-1943,Curtiss C-46A,41-24648,USAAF,2,between Moha...,A1
Unknown country,01-Mar-1980,Antonov An-26,,Afghan AF,,,C1
Unknown country,22-Sep-1951,Douglas C-47B (DC-3),349145/FRBFF,French AF,,,U1
Unknown country,??-???-1979,CASA C-212 Aviocar 100,424,Nicaraguan AF,,,A1
Unknown country,17-Mar-1982,BN-2A-21 Islander,3003,Philippine AF,,,U1
Pacific Ocean,18-Jan-1945,Douglas C-47B (DC-3),43-49871,USAAF,,near Hawaii,A1
Atlantic Ocean,15-Jan-1981,Breguet SP-13A Atlantic,255,Dutch Navy,3,near Inner Hebrides,A1
Unknown country,05-Feb-1944,Curtiss R5C-1 (C-46A),39497,US Navy,,,A1
Unknown country,15-Apr-1942,Douglas DC-3A-269C,NC25623,USAAF,,Unknown,U1
Unknown country,03-Jan-1944,Curtiss C-46A,41-12407,USAAF,,,U1
Unknown country,26-Aug-1944,Curtiss C-46A,42-61052,USAAF,,,U1
Antarctica,19-20-1990,Ilyushin Il-14P,CCCP-41803,"Aeroflot, Central Region",0,near Mirny Ice St...,A1
Atlantic Ocean,??-DEC-1969,Curtiss C-46D,N10416,Albany Industrial,,Gulf of Mexico,A1
Unknown country,18-May-1966,CASA 352 (Ju-52),T.2B-266,Spanish AF,,,U1
Unknown country,14-Aug-1945,Curtiss C-46D,44-78454,USAAF,,,A1
Antarctica,10-Dec-1962,Douglas C-47A (DC-3),TA-33,Argentine AF,0,Ellsworth St...,A1
Unknown country,18-Sep-1945,Douglas C-47B (DC-3),44-76249,USAAF,,unknown,A1
Antarctica,16-Oct-1958,Douglas C-124C Globemaster II,52-1017,USAF,7,near Cape Hallett...,A1
Atlantic Ocean,04-Jul-1946,Bristol 170 Wayfarer IIA,G-AHJB,Bristol,0,"near Aracaju, Brazil",A1
Unknown country,07-Jul-1945,Curtiss C-46A,42-96710,USAAF,,,A1
Unknown country,09-Oct-1944,Douglas C-47A (DC-3),42-100843,USAAF,,unknown,A1
Unknown country,11-Apr-1945,Douglas C-47A (DC-3),42-92775,USAAF,,unknown,C1
Pacific Ocean,30-Sep-1974,Grumman G-73 Mallard,N2965,U.S. Dept of Interior,4,near Alaska,A1
Unknown country,16-Sep-1971,Sud-Aviation SE-210 Caravelle,,Alia,0,,H2
Pacific Ocean,26-Nov-1942,Consolidated PBY-5A Catalina,2951,US Navy,9,"near Oahu Island,...",A1
Unknown country,27-Jan-1989,Kaiser-Fraser C-119G Flying Boxcar,3215,Republic of China AF,,unknown,U1
