Ocean/Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
Antarctica,15-Sep-1959,Douglas R4D-5 (DC-3),17163,US Navy,0,Cape Hallett,A1
Unknown country,07-Oct-1948,Douglas Dakota IV (DC-3),KN440,RAF,,,A1
Antarctica,22-Oct-1964,Douglas LC-47H,12407,US Navy,0,Lillie Glacier,A1
Mediterranean Sea,25-Jan-1948,Bristol 170 Freighter 21E,F-BCJA,SITA,5,near Cyprus,A1
Atlantic Ocean,06-Feb-1996,Boeing 757-225,TC-GEN,"Birgenair, op.for Alas Nacionales",189,near Puerto Plata...,A1
Unknown country,30-Jan-1945,Curtiss C-46D,42-96819,USAAF,,,A1
Atlantic Ocean,16-Oct-1982,Lockheed C-130B Hercules,FAC-1003,Colombian AF,5,"near Cape May, NJ...",A1
Atlantic Ocean,11-Jan-1955,Avro Shackleton MR.2,WL743,RAF,9,near Fastnet Rock...,A1
Pacific Ocean,26-Aug-1945,Douglas C-47A (DC-3),42-92037,USAAF,2,"near Cape York, A...",A1
Antarctica,??-FEB-1958,Lisunov Li-2V,CCCP-N496,"GUSMP, Directorate of Polar Aviation",0,Mirny,A1
Unknown country,21-Nov-1962,Douglas C-47A (DC-3),43-15278,USAF,,unknown,A1
Unknown country,02-Jul-1945,Curtiss C-46D,44-77854,USAAF,,,A1
Unknown country,24-Mar-1945,Curtiss C-46D,44-77512,USAAF,,,A1
Pacific Ocean,22-Sep-1962,Martin P5B Marlin,140144,US Navy,10,Montague Isl...,A1
North Pole,29-Apr-1959,Lisunov Li-2,CCCP-04209,Polyarnaya Aviatsiya,0,N82°21' E177...,A1
Unknown country,03-Jan-1945,Douglas C-47A (DC-3),43-15833,USAAF,,unknown,U1
Atlantic Ocean,23-Sep-1962,Lockheed L-1049H Super Constellatio,N6923C,Flying Tiger Line,28,"near Shannon, Ire...",A1
Atlantic Ocean,21-Jul-1944,Douglas C-47A (DC-3),42-100712,USAAF,5,"near Cape Fear, N...",A1
Unknown country,28-Feb-1945,Curtiss C-46D,42-101143,USAAF,,,U1
Unknown country,05-Jun-1945,Curtiss C-46D,44-77656,USAAF,,,A1
Unknown country,??-MAY-1945,Douglas C-53-DO (DC-3),XT-T55,CNAC,,unknown,U1
Pacific Ocean,04-Nov-1945,Boeing 314,NC18601,Pan Am,0,"near Honolulu, HI",A1
Pacific Ocean,19-Jan-1958,Boeing C-97A,49-2597,USAF,7,"near Honolulu, Ha...",A1
Unknown country,??-SEP-1956,Curtiss C-46A,HI-36,Dominicana,,,A1
Unknown country,27-May-1944,Curtiss C-46A,41-24694,USAAF,3,between Chit...,A1
Unknown country,05-Mar-1941,Consolidated PBY-2 Catalina,467,US Navy,,,A1
Unknown country,31-Mar-1945,Douglas C-47B (DC-3),43-49140,USAAF,,unknown,A1
Unknown country,02-Feb-1965,Douglas C-47D (DC-3),45-938,USAF,,,A1
Atlantic Ocean,24-Dec-1943,Short Sunderland,T228,RAF,21,Bay of Biscay ?,C1
North Pole,15-May-1982,DHC-6 Twin Otter 300,C-GKBO,"Kenn Borek Air, op.for Panarctic Oils",0,North Pole,A1
Unknown country,19-Dec-1943,Consolidated PBY-5A Catalina,5015,US Navy,,,A1
Unknown country,17-Oct-1978,BN-2A-27R Islander,HC-BFI,ATESA,,,U1
Mediterranean Sea,13-Dec-1944,Douglas Dakota III (DC-3),KG710,South African AF,4,between Bari...,A1
Pacific Ocean,26-Dec-1962,Martin P5M-1 Marlin,127712,US Navy,13,"near San Diego, C...",A1
Unknown country,03-Jan-2000,Beech 200 Super King Air,A2-AEZ,Kalahari Air Services & Charter,,unknown loca...,U1
Pacific Ocean,11-Jan-1943,Douglas C-47 (DC-3),41-18573,USAAF,5,between Tont...,A1
Unknown country,23-Jan-1945,Douglas C-47A (DC-3),42-93668,USAAF,,Unknown,U1
Atlantic Ocean,09-Dec-1942,Consolidated C-87,41-11707,USAAF,10,near Ascension Is...,A1
Unknown country,09-Jul-1944,Curtiss C-46A,42-61024,USAAF,,,A1
Atlantic Ocean,11-Nov-1966,Lockheed EC-121H Super Constellatio,55-5262,USAF,19,"near Nantucket, M...",A1
Unknown country,01-Jun-1976,CASA C-212 Aviocar 100,T.12B-11,Spanish AF,,,A1
Unknown country,01-Nov-1943,Curtiss C-46A,41-12409,USAAF,4,between Moha...,A1
Atlantic Ocean,28-Mar-1975,Lockheed 18 Lodestar,N51131,Potomac Painters Inc.,4,near Florida,A1
Unknown country,29-Nov-1963,Howard Super Ventura,N555DM,Dumas Milner Corp.,,unknown,O1
Pacific Ocean,02-Jan-1945,Douglas C-47A (DC-3),42-92817,USAAF,,between Biak...,A1
Unknown country,03-Sep-1971,DC-9,,Eastern Air Lines,0,,H2
Unknown country,??-???-1945,Douglas Dakota III (DC-3),KG678,RAF,,unknown,A1
Unknown country,02-Jul-1970,DHC-4A Caribou,302,Abu Dhabi AF,,,A1
Unknown country,18-Apr-1983,Fairchild C-119 Flying Boxcar,3182,Republic of China AF,,unknown,U1
Unknown country,29-Jan-1976,Douglas C-47D,T.3-32,Spanish AF,,,A1
Pacific Ocean,15-Jan-1994,PB2B-1 Canso A (PBY-5A),N5404J,The Catalina Company,0,near Christmas Is...,A1
Unknown country,15-Jan-1994,IAI 1123 Westwind,N13GW,Unknown,,Unknown,U1
Unknown country,07-Dec-1943,Consolidated PBY-5 Catalina,8372,US Navy,,near Copis Island,A1
Unknown country,03-Apr-1945,Douglas C-47A (DC-3),42-93520,USAAF,,unknown,C1
Unknown country,21-Jul-1943,Douglas C-47A (DC-3),42-23616,USAAF,,unknown,A1
Atlantic Ocean,03-Jul-1941,Consolidated PBY-5 Catalina,2347,US Navy,,North Atlantic,A1
Unknown country,18-Jul-1960,Douglas C-47A (DC-3),43-15765,USAF,,unknown,A1
Unknown country,27-Jul-1945,Curtiss C-46D,44-77454,USAAF,,,A1
Unknown country,20-Mar-1980,Tupolev Tu-134,,Aeroflot,0,,H2
Unknown country,17-Mar-1983,BN-2A-3 Islander,EP-PAC,Pars Air,,,A1
Unknown country,04-Dec-1944,Douglas C-47A (DC-3),43-15374,USAAF,,Unknown,A1
Unknown country,30-Mar-1944,Curtiss C-46A,41-24714,USAAF,,,A1
North Pole,03-May-1973,Lisunov Li-2T,CCCP-04244,"Aeroflot, Yakutsk",0,near Queen Elizab...,A1
Unknown country,25-Feb-1944,Curtiss C-46A,41-12297,USAAF,,,U1
Unknown country,17-Oct-1945,Curtiss C-46D,44-77786,USAAF,,,A1
Mediterranean Sea,21-Dec-1939,Lockheed 14-WF62 Super Electra,G-AFYU,British Airways,5,near Alexandria,A1
Unknown country,31-Mar-1978,BN-2A Islander,VH-EQK,Unionair,,,U1
Unknown country,14-May-1945,Douglas C-47A (DC-3),42-100582,USAAF,,Unknown,A1
Indian Ocean,06-Oct-1946,Avro 685 York C.1,MW125,RAF,21,"near Penang, Mala...",A1
Antarctica,28-Dec-1964,DHC-3 Otter,VP-FAJ,British Antarctic Survey,0,Adelaide Base,A1
Unknown country,05-Jun-1981,Learjet 23,F-GAMA,Transair France,,unknown,U1
Indian Ocean,16-Sep-1945,Douglas Dakota III (DC-3),FL610,RAF,0,"near Ye, Myanmar ...",A1
Pacific Ocean,19-Feb-1985,Boeing 747SP-09,N4522V,China Airlines,0,near San Fransisc...,A2
Mediterranean Sea,19-Apr-1943,Savoia-Marchetti SM-75 bis,I-MONC,LATI,,Mediterranea...,C1
Pacific Ocean,23-Feb-1945,Douglas C-47B (DC-3),43-16224,USAAF,20,"near Biak, Indonesia",A1
Unknown country,25-Feb-1945,Curtiss C-46A,42-96728,USAAF,,,U1
Unknown country,24-Jan-1943,Douglas C-47 (DC-3),41-38688,USAAF,9,unknown,A1
Mediterranean Sea,25-Oct-1942,Junkers Ju-52/3m,KA+SB,German AF,20,Mediterranea...,C1
Unknown country,13-Jun-1942,Consolidated PBY-5A Catalina,5026,US Navy,,,A1
Unknown country,17-Apr-1945,Douglas C-47 (DC-3),42-32870,USAAF,,unknown,C1
Unknown country,08-Jul-1944,Douglas C-47 (DC-3),41-18437,USAAF,,Unknown,A1
Pacific Ocean,11-Jun-1945,Curtiss C-46D,44-77336,USAAF,,South-West P...,A1
Unknown country,13-Dec-1966,Douglas C-47D (DC-3),43-48949,USAF,,,A1
Pacific Ocean,27-Sep-2018,Cessna 208B Supervan 900,VH-FAY,CGG Aviation Australia,1,"near Sendai, Japan",A1
Unknown country,31-Aug-1943,Curtiss C-46A,41-12296,USAAF,,,A1
Unknown country,14-Feb-1955,Vickers Valetta C.1,VL271,RAF,,,A1
Atlantic Ocean,05-Jun-1965,Fairchild C-119G Flying Boxcar,51-2680,USAF,10,near Crooked Isla...,A1
Unknown country,11-May-1956,Fairchild R4Q-1 Flying Boxcar (C-11,128744,USMC,,unknown,A1
Unknown country,28-Mar-1945,Curtiss C-46D,44-77347,USAAF,,,A1
Atlantic Ocean,27-Aug-1943,Douglas DC-3-268,SE-BAF,AB Aerotransport,7,"near Hirsthals, D...",C1
Unknown country,14-Mar-1945,Douglas C-47A (DC-3),42-23859,USAAF,,unknown,A1
Unknown country,16-Apr-1945,Curtiss C-46D,44-77388,USAAF,,,A1
Unknown country,30-Jun-1972,DC-9,,Hughes Airwest,0,,H2
North Pole,26-Oct-1950,Douglas C-47B (DC-3),CCCP-N369,Polyarnaya Aviatsiya,0,Arctic Ice S...,A1
Unknown country,20-Feb-1942,DH.86A Express,N6246,Royal Navy,0,,O1
Unknown country,??-???-1976,Antonov An-12B,CCCP-11103,"Aeroflot, Northern",,unknown,U1
Unknown country,14-Mar-1945,Curtiss C-46D,44-77400,USAAF,,,U1
Mediterranean Sea,21-Apr-1981,Douglas C-53-DO (DC-3),F-BJBY,Hémet Exploration,4,near Puerto de An...,A1
Unknown country,07-Dec-1955,CASA 352 (Ju-52),T.2B-221,Spanish AF,,,U1
Unknown country,??-???-1968,Antonov An-2M,636,Polish AF,,,A1
Pacific Ocean,29-Mar-1972,DH-114 Riley Heron 2D,N19D,Air Pacific,0,"near Hawaii, USA",A1
Pacific Ocean,27-Dec-1943,Douglas R4D-5 (DC-3),12432,US Navy,24,New Caledoni...,A1
Unknown country,26-Apr-1945,Curtiss C-46D,44-77794,USAAF,,,A1
Pacific Ocean,23-May-2000,Beech B200 King Air,N24CV,Calico Ventures,0,"near San Diego, C...",A1
Pacific Ocean,06-Apr-1945,Consolidated PBY-5A Catalina,A24-54,RAAF,,near Timor [Savu ...,C1
Atlantic Ocean,03-Jan-1943,Consolidated PBY-5A Catalina,8097,US Navy,8,Atlantic Ocean,A1
