Country,date,Air-craft type,registration name/mark,operator,fatilites,location,category
USA,25-Jul-2001,Douglas DC-3C,N941AT,N941AT,0,Del Rio Inte...,A1
USA,20-Apr-2009,Boeing 767-36NER,CN-RNT,RAM,0,New York-Joh...,A2
Cape Verde,,,,,,,
China,20-Jan-1941,Ford 5-AT-D Tri-Motor,23,CNAC,5,within Jiangxi Prov...,A1
Congo (former Zaire),25-Aug-2010,Let L-410UVP-E20C,9Q-CCN,Filair,20,near Bandundu Air...,A1
Netherlands,10-May-1940,Junkers Ju-52/3m,,German AF,,Loosduinen,A1
Canada,02-Jan-1973,Boeing 707-321C,CF-PWZ,Pacific Western,5,near Edmonton Int...,A1
Brazil,07-Sep-2020,Gulfstream G200 Galaxy,PR-AUR,W.R.V.,0,Belo Horizon...,A1
Greece,12-Dec-1969,Boeing 707,,Ethiopian Airlines,2,Athens (ATH),H2
USA,30-Nov-2018,Cessna 525A CitationJet CJ2+,N525EG,Estoair,3,"near Memphis, IN",A1
Russia,25-Sep-1990,unknown,,Aeroflot,0,Arkhangelsk-...,H2
India,27-Aug-1992,Beech B200C Super King Air,VT-EOA,Border Security Force,1,Delhi-Indira...,A1
USA,17-Jul-2005,Cessna 525 CitationJet,N13FH,Hertrich Aviation,0,Old Bridge A...,A1
Guatemala,30-Sep-1977,Douglas C-47A (DC-3),TG-AKA,Aviateca,1,Flores-Santa...,A1
Canada,01-Feb-1962,Canadair DC-4M1 North Star,17520,RCAF,0,near Hall Beach A...,A1
United Kingdom,26-Nov-1944,Douglas C-47A (DC-3),42-92837,USAAF,3,Leith Hill,A1
Poland,07-Apr-1993,Antonov An-2R,SP-WZD,ZUA,,near Lublin,A1
Vietnam,23-Dec-1970,U-1A Otter (DHC-3),55-3298,US Army,3,"near Tuy Hoa AB, ...",A1
Germany,24-Apr-2019,Cessna 551 Citation II/SP,D-IADV,private,0,Siegen-Siege...,A1
USA,16-Jun-1966,Curtiss C-46A,N10415,Zantop,2,near Columbia Cit...,A1
USA,22-Aug-1950,Douglas DC-6,N90705,American Airlines,1,"near Eagle, CO",A2
Italy,23-Jul-1943,DH.86A Express,HK843,RAF,,Sicily,U1
France,01-Nov-1946,Amiot AAC.1 (Ju-52),F-BCAD,CTA Languedoc-Roussillon,23,Saint-Léger-...,A1
China,25-Dec-1946,Curtiss C-46,115,CNAC,31,Shanghai-Lon...,A1
Vietnam,06-Apr-1975,Lockheed C-130A Hercules,55-0002,Vietnam Air Force - VNAF,0,Bien Hoa,A1
Mexico,27-Nov-2001,Let L-410UVP,XA-SYJ,Aero Ferinco,0,near Playa del Ca...,A1
USA,25-Dec-1977,DC-9,,Eastern Air Lines,0,"Atlanta, GA",H2
Hong Kong,09-Apr-1951,Douglas DC-3,HS-SAE,Siamese Airways,16,near Cape d'Arguilar,A1
Italy,04-Mar-1921,Caproni Ca.60 Noviplano,,Caproni,0,Lago Maggiore,A1
USA,11-Mar-1971,Douglas C-47A (DC-3),N25,FAA,0,Lubbock Airp...,A1
Russia,21-May-1986,Tupolev Tu-154B-2,CCCP-85327,"Aeroflot, Krasnoyarsk",0,Moskva-Shere...,A1
USA,13-Feb-2012,Learjet 55,N75LJ,Jet ICU Air Ambulance Service,0,Brooksville-...,A1
Austria,16-Mar-1936,Junkers Ju-52/3m,OE-LAL,ÖLAG,0,Saualpe,A1
USA,06-Aug-1941,Consolidated PBY-2 Catalina,496,US Navy,,Pensacola Ba...,A1
Argentina,09-Feb-1977,Morane Saulnier (FMA) MS.760 Paris,E-246,Argentine AF,2,Huinca Renan...,A1
Uzbekistan,17-Sep-1961,Tupolev Tu-104A,CCCP-42388,"Aeroflot, Uzbekistan",0,Tashkent Air...,A1
Canada,23-Dec-1950,Lockheed P2V-3W Neptune,124357,US Navy,11,McCreight Mo...,A1
China,15-Jun-1945,Douglas C-47A (DC-3),43-15847,USAAF,,Luingshan,A1
USA,21-Jun-1948,Lockheed P2V-2 Neptune,39353,US Navy,0,Whidbey Isla...,A1
USA,13-Jan-2017,Beech B200 Super King Air,N795DE,Optimal Aviation Services,0,Five Point-A...,A2
Italy,16-Nov-1942,Fiat G.18,I-ETNA,ALI,0,near Milano,A1
Turkey,23-Dec-2015,Boeing 737-86J (WL),TC-CPV,Pegasus Airlines,0+ 1,Istanbul-Sab...,C2
China,28-Mar-2011,Cessna 550 Citation II,B-7026,Zhong Fei General Aviation Co.,3,Manas County...,A1
France,24-Nov-2001,Beech 200 Super King Air,F-GDLE,Aéro Photo Europe Investigation,4,Chézy,A1
Russia,24-Jun-1993,Antonov An-26,RA-26090,Polyot / Aeroflot,0,Samara Airpo...,A2
Colombia,06-Apr-1962,Douglas C-47 (DC-3),FAC-673,Colombian AF,31,near Apiay Air Ba...,A1
Colombia,13-Apr-1977,Howard 350,N570FT,Equipment Specialists,2,"Tenerife, Ma...",A1
Congo (former Zaire),29-Jul-2004,Antonov An-28,ES-ELI,Flying Air Service,,Beni Mavivi,A1
Myanmar,23-May-1969,Douglas C-47A (DC-3),XY-ACR,Union of Burma Airways,6,near Lashio Airpo...,A1
USA,17-Oct-1948,Fairchild C-82A Packet,45-57797,USAF,4,"near Clinton, LA",A1
Papua New Guinea,30-Aug-1944,Douglas C-47A (DC-3),42-24258,USAAF,,Nadzab,A1
China,23-Mar-1945,Douglas C-47B (DC-3),43-48597,USAAF,,near Kunming,A1
Poland,25-Mar-1961,Antonov An-2,3,Polish AF,,,A1
India,29-Jul-1971,Antonov An-12B,CCCP-12993,"Aeroflot, International",0,Calcutta-Dum...,A1
Uganda,19-Mar-1947,Douglas DC-3,ZS-AUK,Pan African Air Charter,0,Masindi,A1
USA,23-Jan-1945,Douglas C-47A (DC-3),43-30701,USAAF,,Emison Auxil...,A1
Czech Republic,18-Jun-2010,Airbus A321-131,D-AIRT,Lufthansa,0,Praha-Ruzyne...,A2
Libya,01-May-1942,Junkers Ju-52/3m,,German AF,1,near Ajdabiya,C1
India,01-Oct-2002,Ilyushin Il-38,IN-302,Indian Navy,6+ 3,near Goa-Dabolim ...,A1
United Kingdom,18-Apr-1944,Douglas Dakota III (DC-3),FZ683,RAF,,Alvescot,A1
South Sudan,??-FEB-2005,Hawker Siddeley HS-780 Andover CC.2,9XR-AB,African Commuter Services,,Old Fangak,A1
Somalia,13-Aug-2008,Fokker F-27 Friendship 500,5Y-BVF,Fly540,3,near K-50 Airport,A1
Canada,17-Jul-2016,Beech 200 Super King Air,C-FCGW,Air Nunavut,0,Iqaluit Airp...,A1
USA,08-Mar-1942,Ford 4-AT-E Tri-Motor,NC9613,Aircraft Export Corporation,0,Corpus Chris...,O1
USA,10-Apr-2019,Airbus A321-231 (WL),N114NN,American Airlines,0,New York-Joh...,A1
Italy,21-May-1989,Consolidated PBY-5A Catalina,N285NJ,private,2,Torino-Aerit...,A1
South Africa,21-Aug-2005,BN-2B-27 Islander,ZS-PCJ,private,0,near Durban-Virgi...,A1
Indonesia,05-Apr-1972,Vickers Viscount,,Merpati Nusantara,1,Yogyakarta,H2
